População Economicamente Ativa (PEA) - Total
Sigla,Código,Município,1970,1980,1991,2000,
BA,2904506,Brotas de Macaúbas,5035,4037,4903.02755812,4964.34572782,
BA,2904605,Brumado,11258,14494,20152.53990877,24816.02863425,
BA,2904704,Buerarema,6043,8823,6325.84609547,6767.71615288,
BA,2904753,Buritirama,,,3569.81939925,5268.30127472,
BA,2904803,Caatiba,4029,2916,2983.59015888,5661.91105235,
BA,2904852,Cabaceiras do Paraguaçu,,,3438.40412022,7942.82386972,
BA,2904902,Cachoeira,7672,7819,7677.76255284,11105.19358792,
BA,2905008,Caculé,3699,4137,5978.92986641,8075.55696015,
BA,2905107,Caém,2588,2598,4720.3497689,4873.85307449,
BA,2905156,Caetanos,,,2938.70142868,4147.34867466,
BA,2905206,Caetité,12666,13606,14402.9848811,18043.69172112,
BA,2905305,Cafarnaum,4661,6020,4370.33854992,6404.53529426,
BA,2905404,Cairu,2447,3503,5218.05878588,4260.95220609,
BA,2905503,Caldeirão Grande,3292,5458,6012.12956763,3964.16417111,
BA,2905602,Camacan,6608,13994,12544.22795501,11855.5666981,
BA,2905701,Camaçari,10183,26638,39931.9434290301,73925.3818579801,
BA,2905800,Camamu,6919,12019,10337.64663299,12283.72900696,
BA,2905909,Campo Alegre de Lourdes,4273,6380,7915.29298533,9287.10382109,
BA,2906006,Campo Formoso,11018,17396,19576.04716711,24380.50941746,
BA,2906105,Canápolis,2785,3628,2999.61543423,3407.07749572,
BA,2906204,Canarana,6596,7577,7792.04688597,9906.06751619,
BA,2906303,Canavieiras,10137,13723,11051.30339252,14648.25774986,
BA,2906402,Candeal,2974,3061,3566.55482818,3912.18493766,
BA,2906501,Candeias,8771,15594,22067.3883616999,34154.3664110202,
BA,2906600,Candiba,4044,3495,4858.971593,4930.89354121,
BA,2906709,Cândido Sales,4292,5765,6644.11623559,12225.0178213,
BA,2906808,Cansanção,5064,8617,10582.07357964,10476.21303229,
BA,2906824,Canudos,,,3756.02857224,4459.72868465,
BA,2906857,Capela do Alto Alegre,,,5975.73218248,5389.20803762,
BA,2906873,Capim Grosso,,,6602.989122,11457.84902095,
BA,2906899,Caraíbas,,,5902.90495107,4638.08649991,
BA,2906907,Caravelas,6683,12207,5851.99260262,8252.73548686,
BA,2907004,Cardeal da Silva,890,923,1842.80728548,2637.61392735,
BA,2907103,Carinhanha,7883,7126,7960.26965302,9914.53915331,
BA,2907202,Casa Nova,10526,11122,16340.9496768,23245.25697444,
BA,2907301,Castro Alves,14320,13425,9471.56985828,8379.55715318,
BA,2907400,Catolândia,446,872,1005.97947008,1219.04852163,
BA,2907509,Catu,7002,10070,13366.25963158,18363.10650618,
BA,2907558,Caturama,,,2628.13370568,2774.64518069,
BA,2907608,Central,3830,3888,4090.52462114,7229.39823103,
BA,2907707,Chorrochó,2639,2465,2425.61627092,3617.4931218,
BA,2907806,Cícero Dantas,10085,10436,9705.35520983,13246.53790726,
BA,2907905,Cipó,1688,2366,4095.87615379,6106.03383785,
BA,2908002,Coaraci,6621,8599,9873.03816377,10936.32728279,
BA,2908101,Cocos,3660,4394,4538.61194631,6735.52697461,
BA,2908200,Conceição da Feira,3182,3914,4503.02111554,6432.07507087,
BA,2908309,Conceição do Almeida,7334,4980,6215.57387216,7748.77290043,
BA,2908408,Conceição do Coité,10584,14620,19902.75001132,26943.30950723,
BA,2908507,Conceição do Jacuípe,5073,5292,7960.64981889,12633.64543154,
BA,2908606,Conde,5072,4567,4382.72643383,7127.06633315,
BA,2908705,Condeúba,6655,7421,5639.60498848,6116.69434483,
BA,2908804,Contendas do Sincorá,1903,1999,1392.88650286,1667.57657154,
BA,2908903,Coração de Maria,7111,7884,7393.63878414,12793.43762627,
BA,2909000,Cordeiros,3143,2326,3440.94003342,3289.61483363,
BA,2909109,Coribe,4498,5340,4497.75938835,5526.57264211,
BA,2909208,Coronel João Sá,4863,3846,5494.34570605,5261.45944175,
BA,2909307,Correntina,7902,9206,8154.56378653,14696.26606994,
BA,2909406,Cotegipe,6006,6390,3943.42592992,5082.50838439,
BA,2909505,Cravolândia,1957,1847,1361.69876869,1873.48759231,
BA,2909604,Crisópolis,3973,5648,6549.32261342,9280.49026285,
BA,2909703,Cristópolis,2319,2782,4061.18299507,4825.69895166,
BA,2909802,Cruz das Almas,8394,11509,16334.80147525,23946.41328882,
BA,2909901,Curaçá,5359,5510,6300.81389071,11953.51234599,
BA,2910008,Dário Meira,3609,4309,4498.0709809,5443.74534998,
BA,2910057,Dias d'Ávila,,,10511.29802843,19471.8121624201,
BA,2910107,Dom Basílio,2100,1452,3030.43371984,4662.56206727,
BA,2910206,Dom Macedo Costa,1379,1860,1106.94626384,1474.69955812,
BA,2910305,Elísio Medrado,2561,2680,3351.57612093,3922.91975622,
BA,2910404,Encruzilhada,7577,8414,7263.26705794,13213.31210129,
BA,2910503,Entre Rios,6051,6721,7678.16802415,14864.91867538,
BA,2910602,Esplanada,5938,5517,7172.77629228,10008.35346036,
BA,2910701,Euclides da Cunha,10329,13580,17368.57647321,22104.06892379,
BA,2910727,Eunápolis,,,25381.91004675,36064.59106157,
BA,2910750,Fátima,,,5807.20546183,8520.51884581,
BA,2910776,Feira da Mata,,,1954.06893631,2203.7569464,
BA,2910800,Feira de Santana,69377,94752,158194.10250562,228680.70435834,
BA,2910859,Filadélfia,,,5897.00348582,6992.64034807,
BA,2910909,Firmino Alves,1648,1837,1661.39505068,2008.44134482,
BA,2911006,Floresta Azul,4417,6071,3951.95445045,4499.91384236,
BA,2911105,Formosa do Rio Preto,3944,3761,4675.59262032,7372.47618507,
BA,2911204,Gandu,6531,10903,10410.27580178,12033.57310821,
BA,2911253,Gavião,,,2555.27757742,2024.49694988,
BA,2911303,Gentio do Ouro,2501,2413,3320.3183674,3130.02947908,
