Capital residencial - total
Sigla,Código,Município,1970,1980,1991,2000,
BA,2905909,Campo Alegre de Lourdes,24982.4981577365,38339.315409084,28583.0065237684,58832.9042406981,
BA,2906006,Campo Formoso,90093.3098195372,183216.631393487,146596.798051248,233732.184862835,
BA,2906105,Canápolis,13505.3996833737,20180.4544903493,15114.7981097793,33223.303500802,
BA,2906204,Canarana,39725.8699725118,76153.4000901774,55161.9112031056,95345.0287283222,
BA,2906303,Canavieiras,129640.295615481,165555.076271793,105092.361300486,184625.973888117,
BA,2906402,Candeal,15473.701941565,20659.5013085011,21708.743006323,38073.0693539903,
BA,2906501,Candeias,185551.344901501,416910.551665729,493850.44519388,903428.421765661,
BA,2906600,Candiba,24341.7640459652,29207.4751648213,31912.7746735195,56430.3840899408,
BA,2906709,Cândido Sales,29855.621729201,49351.6084644697,75616.94918078,167089.413515671,
BA,2906808,Cansanção,22505.1044406039,45889.0322921979,52573.2643743159,96642.3981570239,
BA,2906824,Canudos,,,31531.9349623534,48623.0156627859,
BA,2906857,Capela do Alto Alegre,,,33345.0567553871,63485.5453091431,
BA,2906873,Capim Grosso,,,75603.1459710987,153533.358479305,
BA,2906899,Caraíbas,,,22809.5315928646,36326.3366903883,
BA,2906907,Caravelas,65784.8292969605,150163.548700278,66138.408751671,110371.566131462,
BA,2907004,Cardeal da Silva,7408.0033420607,9911.1631430617,12415.1518295912,26545.7635508503,
BA,2907103,Carinhanha,51214.193073462,54678.8189435189,52623.0275009179,87225.0653018017,
BA,2907202,Casa Nova,24489.5527769875,102328.170010215,108639.417151677,249323.439341584,
BA,2907301,Castro Alves,116628.507076161,131817.113118986,72478.8996172107,139996.631499225,
BA,2907400,Catolândia,43.6621594685,3896.1682866618,6592.0832553729,11761.5179749462,
BA,2907509,Catu,122217.412826784,240974.53044614,231798.285018369,409825.420520664,
BA,2907558,Caturama,,,15719.8507720257,28706.6549372433,
BA,2907608,Central,25446.4281043566,38830.762981776,28173.1153206811,58587.4154283393,
BA,2907707,Chorrochó,12412.9021951999,22346.6771606534,16622.9754216169,24468.2597920344,
BA,2907806,Cícero Dantas,60022.7499833532,110174.773965248,78498.2881562219,176567.187446844,
BA,2907905,Cipó,21643.6086283438,36045.8869325155,44971.9887988522,63650.6549315496,
BA,2908002,Coaraci,111204.679250431,152399.953179015,142654.864189432,210907.726212309,
BA,2908101,Cocos,19477.6288046884,36910.3165262078,40138.452801619,64210.938048067,
BA,2908200,Conceição da Feira,39813.6420618288,56143.5299306242,59299.2841688823,92878.9651348247,
BA,2908309,Conceição do Almeida,50842.0118639598,65420.6452072419,54684.5526362241,92830.2926979961,
BA,2908408,Conceição do Coité,92172.6841902958,134211.62930361,137754.414825521,292317.890327436,
BA,2908507,Conceição do Jacuípe,57390.2779559845,97585.2874849128,98014.8010592311,157775.205658595,
BA,2908606,Conde,38977.5274257586,48138.6370484452,40471.3990473971,78446.267790506,
BA,2908705,Condeúba,39217.1864802118,49596.3904182207,37961.580862159,77736.2999780576,
BA,2908804,Contendas do Sincorá,21038.0674388796,15996.3234323024,14809.1865055996,21915.4091268464,
BA,2908903,Coração de Maria,46103.4613540286,54380.5044769292,50992.5969360315,86422.2462292916,
BA,2909000,Cordeiros,13488.3774351134,17411.0993214132,20928.0978207877,32215.9906317033,
BA,2909109,Coribe,30371.8827258234,30557.6445285497,39115.0469802225,49098.2407344778,
BA,2909208,Coronel João Sá,20495.4546879567,18275.2136934807,23050.6724226303,57873.1765911388,
BA,2909307,Correntina,60652.8367178019,76396.4254668014,65263.7171704724,120945.592857834,
BA,2909406,Cotegipe,37197.928374531,49757.1795506136,24018.7130373405,48338.9771868865,
BA,2909505,Cravolândia,12158.995133309,15109.4708479072,10624.8693007306,25959.7033031622,
BA,2909604,Crisópolis,22208.6291960214,43123.3999046623,42294.8632960534,73970.5645144498,
